product_id,product_name,category,segment,size,color,units_sold,net_revenue,gross_profit,refund_total,headline_margin,margin_after_returns,return_rate_units,avg_rating,avg_fill_rate,action
1,DragonWear MA-01,Casual,All-weather,M,black,8,25041.86,3178.793600000001,0.0,0.4474,0.12693919700852896,0.0,,0.9555666666666666,KEEP (Hold)
3,DragonWear MA-03,Casual,All-weather,XL,blue,2252,21899405.01,-1273243.3470030874,857036.97,0.0500000000000001,-0.07636663396092458,0.03952042628774423,4.151515151515151,0.9654296296296296,DELIST
4,DragonWear MA-04,Casual,All-weather,S,white,655,5893246.55,2222605.5062739123,166611.39,0.41689999999999994,0.35838216162060504,0.030534351145038167,3.857142857142857,0.9666675,PROMOTE (Star)
5,DragonWear MA-05,Casual,All-weather,M,purple,1,6752.76,-1745.9399999999987,0.0,0.05000000000000012,-0.2585520587137702,0.0,,0.95,DELIST
7,DragonWear MA-07,Casual,All-weather,XL,silver,84,402854.8,106004.710639,50268.78,0.33410000000000006,0.190985706141518,0.14285714285714285,3.8,0.970178947368421,FIX SIZING / QC
8,DragonWear MA-08,Casual,All-weather,S,pink,2132,10248061.57,2339611.4443030264,429203.36,0.30709999999999993,0.20270480099584046,0.04221388367729831,4.125,0.9643060606060606,PROMOTE (Star)
9,DragonWear MA-09,Casual,All-weather,M,yellow,1407,8966878.41,695087.876516249,313227.06,0.16929999999999987,0.058976653774264684,0.03553660270078181,3.857142857142857,0.9710716981132075,KEEP (Hold)
10,DragonWear MA-10,Casual,All-weather,L,red,64,493092.7,-4476.259999999893,7395.92,0.05000000000000006,-0.016193552449671012,0.015625,5.0,0.9541625,DELIST
12,DragonWear MA-12,Casual,All-weather,S,orange,83,374595.35000000003,56806.84449304349,13601.4,0.28379999999999983,0.13067062966803353,0.03614457831325301,5.0,0.9607823529411765,KEEP (Hold)
13,DragonWear MA-13,Casual,All-weather,M,blue,219,1033854.62,143239.01333,0.0,0.22689999999999994,0.13854850629772297,0.0,4.333333333333333,0.9559161290322581,KEEP (Hold)
14,DragonWear MA-14,Casual,All-weather,L,white,91,423112.15,22997.829576000047,0.0,0.10210000000000007,0.05435398056047326,0.0,4.0,0.9745176470588236,KEEP (Hold)
15,DragonWear MA-15,Casual,All-weather,XL,purple,82,378264.84,102679.03204800002,5298.56,0.40719999999999995,0.26188231852582444,0.012195121951219513,4.0,0.966675,KEEP (Hold)
17,DragonWear MA-17,Casual,All-weather,M,silver,683,2995915.34,168097.29812352918,146415.25,0.14600000000000007,0.030730834144174844,0.04978038067349927,3.9166666666666665,0.9588659574468085,REPRICE / discount-cap
19,DragonWear MA-19,Casual,All-weather,XL,yellow,18,64022.850000000006,-11067.275888262302,0.0,0.06160000000000007,-0.17286446773710168,0.0,4.0,0.9777666666666667,DELIST
20,DragonWear MA-20,Casual,All-weather,S,red,9,56738.63,9180.994699999996,11243.55,0.13529999999999998,0.05678012317181427,0.2222222222222222,,0.958325,FIX SIZING / QC
21,DragonWear MA-21,Casual,All-weather,M,black,194,909348.27,44802.06088673696,13780.55,0.13720000000000013,0.04146502255314198,0.015463917525773196,3.5,0.9654642857142858,REPRICE / discount-cap
22,DragonWear MA-22,Casual,All-weather,L,orange,11,61575.06999999999,23191.532499999987,0.0,0.4724999999999999,0.37663834568113347,0.0,,0.9666666666666667,KEEP (Hold)
23,DragonWear MA-23,Casual,All-weather,XL,blue,101,794795.5599999999,199265.52804999996,42622.55,0.3523,0.21563258408866803,0.04950495049504951,4.75,0.92667,KEEP (Hold)
26,DragonWear MA-26,Casual,All-weather,L,green,4184,35725855.31,1306774.4744530767,1032550.29,0.1283000000000003,0.021952122861423142,0.029636711281070746,3.832369942196532,0.968887619047619,REPRICE / discount-cap
27,DragonWear MA-27,Casual,All-weather,XL,silver,50,220993.39,-15760.29297499999,13395.66,0.06740000000000007,-0.09979186475102259,0.06,3.0,0.9711066666666668,DELIST
28,DragonWear MA-28,Casual,All-weather,S,pink,34,177561.52,88097.56989999999,0.0,0.4922,0.49615237524436595,0.0,4.0,0.9666666666666667,KEEP (Hold)
29,DragonWear MA-29,Casual,All-weather,M,yellow,22,115908.57,-15629.75999999998,44148.78999999999,0.050000000000000065,-0.309403265004477,0.36363636363636365,,0.96668,DELIST
30,DragonWear MA-30,Casual,All-weather,L,red,7,71207.92,16521.82084,0.0,0.2383,0.23202223629056992,0.0,,0.9333,KEEP (Hold)
31,DragonWear MA-31,Casual,All-weather,XL,black,555,4716188.37,334833.1768914899,85933.97,0.12220000000000007,0.061981841946340904,0.01981981981981982,3.5357142857142856,0.9666678571428572,KEEP (Hold)
36,DragonWear MA-36,Casual,All-weather,S,green,1322,6774024.59,2112566.1738231033,355854.44,0.37090000000000006,0.2778093036681071,0.05370650529500756,3.888888888888889,0.9633980392156862,FIX SIZING / QC
38,DragonWear MA-38,Casual,All-weather,L,pink,197,897914.68,-29162.197999999975,42362.92,0.12119999999999997,-0.05607240434024307,0.04568527918781726,3.9166666666666665,0.9536173913043478,REPRICE / discount-cap
40,DragonWear MA-40,Casual,All-weather,S,red,67,773232.31,-28356.69499999995,44619.53,0.0500000000000001,-0.0634326765264115,0.05970149253731343,5.0,0.9701842105263158,DELIST
42,DragonWear MA-42,Casual,All-weather,L,orange,38,386071.31,28736.932880000037,0.0,0.27260000000000006,0.0744342615875809,0.0,3.3333333333333335,0.9703666666666666,KEEP (Hold)
43,DragonWear MA-43,Casual,All-weather,XL,blue,89,376257.04,-37940.84279545449,0.0,0.050000000000000044,-0.10083756252229724,0.0,3.0,0.97778,DELIST
45,DragonWear MA-45,Casual,All-weather,M,purple,66,344627.74,116528.57516800001,10970.2,0.3904,0.3163251545566239,0.030303030303030304,4.0,0.9636272727272727,KEEP (Hold)
52,DragonWear RP-07,Outdoor,Activewear,S,orange,15,59636.03999999999,6658.986569999994,0.0,0.13739999999999997,0.11166044173959228,0.0,1.0,0.966675,KEEP (Hold)
53,DragonWear RP-08,Outdoor,Activewear,M,blue,15,60798.71,6998.688200000004,0.0,0.12400000000000003,0.11511244564235004,0.0,,0.975,KEEP (Hold)
54,DragonWear RP-09,Outdoor,Activewear,L,white,108,441061.53,19394.48374080006,7371.27,0.2016,0.03611182830477203,0.018518518518518517,4.0,0.96333,REPRICE / discount-cap
55,DragonWear RP-10,Outdoor,Activewear,XL,purple,75,301316.45,-47109.30249999993,0.0,0.05000000000000013,-0.156344940676156,0.0,4.75,0.961675,DELIST
56,DragonWear RP-11,Outdoor,Activewear,S,green,39,137337.38,1131.2396818182024,0.0,0.05000000000000015,0.008236939439344207,0.0,5.0,0.9592555555555555,KEEP (Hold)
57,DragonWear RP-12,Outdoor,Activewear,M,silver,28,94391.33,-3397.693818181797,0.0,0.05000000000000015,-0.03599582523290854,0.0,,0.9629666666666667,DELIST
58,DragonWear RP-13,Outdoor,Activewear,L,pink,84,334188.19,72518.734225,24262.65,0.27979999999999994,0.17236223078753918,0.07142857142857142,4.5,0.9533266666666668,FIX SIZING / QC
59,DragonWear RP-14,Outdoor,Activewear,XL,yellow,92,352991.04,23105.722874999978,4215.13,0.171,0.058594823991495584,0.010869565217391304,4.4,0.94666,KEEP (Hold)
60,DragonWear RP-15,Outdoor,Activewear,S,red,1,3790.69,-339.15479600000026,0.0,0.12189999999999991,-0.08947046474388574,0.0,,0.9889,KEEP (Hold)
61,DragonWear RP-16,Outdoor,Activewear,M,black,4,15097.32,1115.7659519999997,0.0,0.2568,0.07390490179714014,0.0,,0.9555333333333333,KEEP (Hold)
62,DragonWear RP-17,Outdoor,Activewear,L,orange,67,269332.53,70047.01506063159,17622.2,0.38039999999999996,0.21673444497070318,0.05970149253731343,4.0,0.966675,FIX SIZING / QC
63,DragonWear RP-18,Outdoor,Activewear,XL,blue,59,241603.4,-11690.519153578964,13338.52,0.10569999999999992,-0.07694164586630302,0.05084745762711865,3.0,0.9611083333333333,FIX SIZING / QC
64,DragonWear RP-19,Outdoor,Activewear,S,white,29,108961.14,4839.496499999994,0.0,0.04999999999999999,0.044414884976423645,0.0,3.5,0.9523714285714285,KEEP (Hold)
65,DragonWear RP-20,Outdoor,Activewear,M,purple,35,129390.70999999999,9441.064939999982,3283.07,0.09319999999999995,0.060835598614459904,0.02857142857142857,4.25,0.9762000000000001,KEEP (Hold)
66,DragonWear RP-21,Outdoor,Activewear,L,green,37,167240.23,-10035.350299999991,35155.74,0.05000000000000005,-0.1556214237447532,0.21621621621621623,3.0,0.9666727272727272,DELIST
67,DragonWear RP-22,Outdoor,Activewear,XL,silver,48,219538.69,6602.22283839999,0.0,0.1203999999999999,0.0300731631331133,0.0,3.0,0.9575727272727274,KEEP (Hold)
